,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
184,CHEMBL119143,CN(C)NC(=O)Nc1csc(Cc2c(Cl)cccc2Cl)n1,4000.0,intermediate
185,CHEMBL332112,O=C(Nc1csc(Cc2ccccc2)n1)NN1CCOCC1,55000.0,inactive
186,CHEMBL118659,O=C(NNc1ccccc1)Nc1csc(Cc2c(Cl)cccc2Cl)n1,100000.0,inactive
187,CHEMBL116339,CN(NC(=O)Nc1csc(Cc2c(Cl)cccc2Cl)n1)c1ccccc1,10000.0,inactive
188,CHEMBL117779,Cc1cccc(-c2nc(NC(=O)NOc3ccccc3)cs2)c1,16000.0,inactive
189,CHEMBL116017,O=C(Nc1csc(CSc2ccccc2)n1)NN1CCOCC1,30000.0,inactive
190,CHEMBL118199,O=C(Nc1csc(-c2ccc(Cl)cc2)n1)NN1CCOCC1,100000.0,inactive
191,CHEMBL116615,O=C(NOc1ccccc1)Nc1csc(-c2ccccc2)n1,8000.0,intermediate
192,CHEMBL324961,CNNC(=O)Nc1csc(Cc2c(Cl)cccc2Cl)n1,100000.0,inactive
193,CHEMBL333215,NNC(=O)Nc1csc(Cc2c(Cl)cccc2Cl)n1,100000.0,inactive
194,CHEMBL117906,O=C(Nc1csc(Cc2c(Cl)cccc2Cl)n1)NN1CCCCCC1,10000.0,inactive
195,CHEMBL115625,O=C(Nc1csc(-c2ccccc2Cl)n1)NN1CCOCC1,30000.0,inactive
196,CHEMBL119430,CCc1nc(NC(=O)NN2CCOCC2)cs1,100000.0,inactive
197,CHEMBL118253,O=C(Nc1csc(Cc2c(Cl)cccc2Cl)n1)NN(Cc1ccccc1)Cc1ccccc1,100000.0,inactive
198,CHEMBL115650,Cc1cccc(-c2nc(NC(=O)NN3CCOCC3)cs2)c1,30000.0,inactive
199,CHEMBL117950,CC(C)(C)ONC(=O)Nc1csc(Cc2c(Cl)cccc2Cl)n1,1000.0,active
200,CHEMBL115472,O=C(Nc1csc(Cc2c(Cl)cccc2Cl)n1)NN1CCCCC1,6000.0,intermediate
201,CHEMBL116326,CNNCC(=O)Nc1csc(Cc2c(Cl)cccc2Cl)n1,100000.0,inactive
202,CHEMBL116949,O=C(Nc1csc(CS(=O)(=O)c2ccccn2)n1)NN1CCOCC1,10000.0,inactive
203,CHEMBL119530,O=C(NOc1ccccc1)Nc1csc(Cc2c(Cl)cccc2Cl)n1,900.0,active
204,CHEMBL115429,COc1ccc(OCc2nc(NC(=O)NN3CCOCC3)cs2)cc1,30000.0,inactive
205,CHEMBL327004,O=C(Nc1csc(Cc2c(Cl)cccc2Cl)n1)NN1CCOCC1,1000.0,active
206,CHEMBL333136,O=C(Nc1csc(-c2ccccc2)n1)NN1CCOCC1,9000.0,intermediate
207,CHEMBL119796,CCONC(=O)Nc1csc(Cc2c(Cl)cccc2Cl)n1,5000.0,intermediate
208,CHEMBL117778,CS(=O)(=O)Cc1nc(NC(=O)NOc2ccccc2)cs1,6000.0,intermediate
209,CHEMBL325452,O=C(NOc1ccccc1)Nc1csc(Cc2ccccc2)n1,20000.0,inactive
210,CHEMBL117800,CONC(=O)Nc1csc(Cc2c(Cl)cccc2Cl)n1,9000.0,intermediate
211,CHEMBL118043,O=C(Nc1csc(COc2ccccc2)n1)NN1CCOCC1,80000.0,inactive
212,CHEMBL334062,O=C(NOCc1c(F)c(F)c(F)c(F)c1F)Nc1csc(Cc2c(Cl)cccc2Cl)n1,100000.0,inactive
213,CHEMBL118685,C=CCONC(=O)Nc1csc(Cc2c(Cl)cccc2Cl)n1,6000.0,intermediate
214,CHEMBL119041,O=C(NOC1CCCCO1)Nc1csc(Cc2c(Cl)cccc2Cl)n1,3000.0,intermediate
215,CHEMBL117768,COC[C@H]1CCCN1NC(=O)Nc1csc(Cc2c(Cl)cccc2Cl)n1,100000.0,inactive
216,CHEMBL115649,Cc1ccc(-c2nc(NC(=O)NN3CCOCC3)cs2)cc1,100000.0,inactive
217,CHEMBL119812,O=C(Nc1csc(-c2cccs2)n1)NN1CCOCC1,30000.0,inactive
218,CHEMBL50226,Nc1nccc(-c2cc3ccccc3[nH]2)n1,130000.0,inactive
219,CHEMBL296682,Nc1nccc(-c2c[nH]c3c(Br)ccc(O)c23)n1,150.0,active
220,CHEMBL44545,Nc1nccc(-c2c[nH]c3cc(Br)cc(O)c23)n1,1000.0,active
221,CHEMBL46440,Nc1nccc(-c2c[nH]c3cc(Br)ccc23)n1,5500.0,intermediate
222,CHEMBL48081,Nc1nccc(-c2cc3cc(Br)ccc3[nH]2)n1,300000.0,inactive
223,CHEMBL48082,Nc1nccc(-c2c[nH]c3ccccc23)n1,140000.0,inactive
224,CHEMBL14762,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,160.0,active
225,CHEMBL50498,Nc1nccc(-c2c[nH]c3cccc(O)c23)n1,3000.0,intermediate
226,CHEMBL296271,Nc1nccc(-c2c[nH]c3cc(Br)c(Br)cc23)n1,20000.0,inactive
227,CHEMBL44541,Nc1nccc(-c2c[nH]c3ccc(Br)cc23)n1,6000.0,intermediate
228,CHEMBL14217,O=[N+]([O-])c1ccc(Cl)c(-c2[nH]ccc3c4ccccc4nc2-3)c1,1200000.0,inactive
229,CHEMBL14762,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,800.0,active
230,CHEMBL280074,Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21,7000.0,intermediate
231,CHEMBL273547,Cc1[nH]cnc1-c1[nH]ccc2c3ccccc3nc1-2,5000.0,intermediate
232,CHEMBL14445,Cc1nccc2c1[nH]c1cc(F)ccc12,24000.0,inactive
233,CHEMBL269538,COc1ccc2c(c1)[nH]c1c(C)nccc12,21000.0,inactive
234,CHEMBL126077,O=Nc1c(-c2c(O)[nH]c3ccccc23)[nH]c2ccccc12,100.0,active
235,CHEMBL14762,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,200.0,active
236,CHEMBL75680,CCCCc1c(-c2ccc(O)cc2)[nH]c2nccnc12,200.0,active
237,CHEMBL31574,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,570.0,active
