,Unnamed: 0,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
290,308,CHEMBL196428,CC(C)(C)c1ccc(-n2c(C(=O)O)c(Oc3ccc(OC(F)(F)F)cc3)c3ccccc32)cc1,active,469.4590000000001,7.317100000000005,1.0,4.0,7.309803919971486
291,309,CHEMBL372107,CCOc1cccc(Oc2c(C(=O)O)n(-c3ccc(C(C)(C)C)cc3)c3ccccc23)c1,active,429.5160000000002,6.817200000000006,1.0,4.0,7.309803919971486
292,310,CHEMBL426294,CC(C)(C)c1ccc(-n2c(C(=O)O)c(Oc3cccc(O)c3)c3ccccc32)cc1,active,401.4620000000001,6.124100000000005,2.0,4.0,7.107905397309519
293,311,CHEMBL198605,COc1ccc(-n2c(C(=O)O)c(Oc3cccc(C(F)(F)F)c3)c3ccccc32)cc1,active,427.37800000000004,6.148400000000004,1.0,4.0,6.939302159646388
294,312,CHEMBL194740,O=C(O)c1c(Oc2cccc(C(F)(F)F)c2)c2ccccc2n1-c1ccc(C(F)(F)F)cc1,active,465.34900000000005,7.158600000000005,1.0,3.0,6.97061622231479
295,313,CHEMBL197636,CC(C)c1cccc(-n2c(C(=O)O)c(Oc3cccc(C(F)(F)F)c3)c3ccccc32)c1,active,439.43300000000005,7.263200000000004,1.0,3.0,7.221848749616356
296,314,CHEMBL197637,CC(C)c1cccc(-n2c(C(=O)O)c(Oc3ccc(C(F)(F)F)cc3)c3ccccc32)c1,active,439.43300000000005,7.263200000000005,1.0,3.0,6.920818753952375
297,315,CHEMBL372850,CC(C)c1cccc(-n2c(C(=O)O)c(Oc3cccc(O)c3)c3ccccc32)c1,active,387.43500000000006,5.9500000000000055,2.0,4.0,6.991399828238082
298,316,CHEMBL381889,CC(C)(C)c1ccc(-n2c(C(=O)O)c(Oc3ccc(Cl)cc3)c3ccc(OC(F)(F)F)cc32)cc1,active,503.90400000000017,7.970500000000005,1.0,4.0,6.525783735923745
299,317,CHEMBL381865,CC(C)(C)c1ccc(-n2c(C(=O)O)c(Oc3cccc(C(F)(F)F)c3)c3ccc(Cl)cc32)cc1,active,487.90500000000014,8.090700000000004,1.0,3.0,7.568636235841013
300,318,CHEMBL372639,CC(C)c1cccc(Oc2c(C(=O)O)n(-c3ccc(C(C)(C)C)cc3)c3cc(Cl)ccc23)c1,active,461.9890000000002,8.195300000000005,1.0,3.0,7.721246399047171
301,319,CHEMBL198207,CC(C)(C)c1ccc(-n2c(C(=O)O)c(Oc3cccc(C(F)(F)F)c3)c3cc(Cl)ccc32)cc1,active,487.90500000000014,8.090700000000004,1.0,3.0,7.769551078621726
302,320,CHEMBL372780,CC(C)(C)c1ccc(-n2c(C(=O)O)c(Oc3cc(C(F)(F)F)cc(C(F)(F)F)c3)c3cc(Cl)ccc32)cc1,active,555.902,9.109499999999997,1.0,3.0,7.080921907623926
303,321,CHEMBL370648,CC(C)(C)c1ccc(-n2c(C(=O)O)c(Oc3ccc(Cl)c(C(F)(F)F)c3)c3cc(Cl)ccc32)cc1,active,522.3500000000003,8.744099999999998,1.0,3.0,7.886056647693163
304,322,CHEMBL197671,COc1ccc2c(c1)c(Oc1cccc(C(F)(F)F)c1)c(C(=O)O)n2-c1ccc(C(C)(C)C)cc1,active,483.4860000000002,7.445900000000006,1.0,4.0,7.4089353929735005
